Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BS-7,1,Coincell_BAT_BS-7,
"C1, C2",C_Disc_D8.0mm_W2.5mm_P5.00mm,2,1000uF,
C3,0603,1,100uF,
C4,0603,1,10uF,
C5,0603,1,5nF,
C6,0805,1,100uF,
"D1, D2",D_SOD-323_HandSoldering,2,diode,
D4,0603,1,green,
D5,0603,1,blue,
J1,PinHeader_1x02_P2.54mm_Vertical,1,JMP,
J4,PinHeader_1x03_P2.54mm_Vertical,1,UPDI,
J5,PinHeader_1x02_P2.54mm_Vertical,1,UART0,
Q1,SOT-23,1,BSS138,
"R1, R2, R3",0603,3,10K,
"R4, R5",0603,2,1k,
"SW1, SW2, SW3",SW_PUSH_6mm,3,F2,
U1,Ai-Thinker-Ra-01-LoRa,1,DL-LLCC68-S-433,C2894789
U2,TSSOP-14_4.4x5mm_P0.65mm,1,ATtiny1624-X,
U3,ANT-TH_T14-433M,1,VG433SNX39-6W3,C718844
